央视,#genre#
CCTV-1综合,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226527/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225601/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8#http://121.31.30.87:8085/ysten-business/live/cctv-1/1.m3u8#http://scgctvshow.sctv.com/hdlive/cctv1/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8#,http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-1/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-1/index.m3u8?IAS$8M四川
CCTV-2财经,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226468/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-2/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-2/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8$蓝光
CCTV-3综艺,http://39.134.176.253/PLTV/88888888/224/3221226431/index.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225490/index.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226485/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#http://121.31.30.87:8085/ysten-business/live/cctv-3/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-3/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-3/index.m3u8?IAS$8M四川
CCTV-4中文国际,http://39.134.176.253/PLTV/88888888/224/3221226171/index.m3u8#http://117.169.72.135:8080/PLTV/88888888/224/3221225633/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-4/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-4/index.m3u8?IAS$8M四川
CCTV-5体育,http://39.134.176.253/PLTV/88888888/224/3221226400/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225606/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8#,http://39.134.168.91/PLTV/1/224/3221225556/index.m3u8#http://121.31.30.87:8085/ysten-business/live/cctv-5/1.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/#http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-5/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-5/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+体育赛事,http://39.134.176.253/PLTV/88888888/224/3221226166/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8#http://121.31.30.90:8085/ysten-business/live/hdcctv05plus/yst.m3u8#http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8#http://39.134.7.247/000000001000/1000000001000018504/1.m3u8#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hdcctv05plus/index.m3u8?IAS$8M四川
CCTV-6电影,http://39.134.176.253/PLTV/88888888/224/3221226487/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225488/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8#http://121.31.30.91:8085/ysten-business/live/cctv-6/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-6/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-6/index.m3u8?IAS$8M四川#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-7国防军事,http://39.134.176.253/PLTV/88888888/224/3221226122/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-7/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-7/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-8电视,http://39.134.176.253/PLTV/88888888/224/3221226330/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225562/index.m3u8#http://121.31.30.91:8085/ysten-business/live/cctv-8/1.m3u8#http://39.134.176.148/PLTV/88888888/224/3221226330/index.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-8/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-8/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV-9纪录,http://39.134.176.253/PLTV/88888888/224/3221226561/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8#http://39.135.135.30/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8#http://121.31.30.87:8085/ysten-business/live/cctv-news/1.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-news/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-news/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV-10科教,http://39.134.176.253/PLTV/88888888/224/3221226199/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226199/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-10/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-10/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV-11戏曲,http://39.134.176.253/PLTV/88888888/224/3221226219/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv11hd.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-11/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-11/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12社会与法,http://39.134.176.253/PLTV/88888888/224/3221226167/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225816/1.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-12/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-12/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV-13新闻,http://39.134.176.253/PLTV/88888888/224/3221226193/index.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-13-HQ/.m3u8#http://39.135.135.58/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225599/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-13/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-13/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14少儿,http://39.134.176.253/PLTV/88888888/224/3221226126/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-14/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-14/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225640/index.m3u8
